building number, building name, building address,Melbourne City Campus
1,Building 1 (Francis Ormond Building),124 La Trobe Street Melbourne,Melbourne City Campus
2,Building 2 (School of Art),124 La Trobe Street Melbourne,Melbourne City Campus
3,Building 3 (Kernot Building),124 La Trobe Street Melbourne,Melbourne City Campus
4,Building 4,124 La Trobe Street Melbourne,Melbourne City Campus
5,Building 5,124 La Trobe Street Melbourne,Melbourne City Campus
6,Building 6,124 La Trobe Street Melbourne,Melbourne City Campus
7,Building 7,124 La Trobe Street Melbourne,Melbourne City Campus
8,Building 8,360 Swanston Street Melbourne,Melbourne City Campus
9,Building 9,124 La Trobe Street Melbourne,Melbourne City Campus
10,Building 10 (Casey Building),376-392 Swanston Street Melbourne,Melbourne City Campus
11,Building 11 (Old Melbourne Gaol),377 Russell Street Melbourne,Melbourne City Campus
12,Building 12 (Gillespie Building),402 Swanston Street Melbourne,Melbourne City Campus
13,Building 13 (Emily McPherson),405 Russell Street Melbourne,Melbourne City Campus
14,Building 14 (Percival Jackson Building),414-418 Swanston Street Melbourne,Melbourne City Campus
15,Building 15,124 La Trobe Street Melbourne,Melbourne City Campus
16,Building 16 (Storey Hall), 336–348 Swanston Street Melbourne,Melbourne City Campus
18,Building 18,345–355 Russell Street Melbourne,Melbourne City Campus
19,Building 19 (Former City Watch House),345–355 Russell Street Melbourne,Melbourne City Campus
20,Building 20 (Former Magistrates’ Court),325–343 Russell Street Melbourne,Melbourne City Campus
21,Building 21,124 La Trobe Street Melbourne,Melbourne City Campus
22,Building 22,330–334 Swanston Street Melbourne,Melbourne City Campus
23,Building 23,330–334 Swanston Street Melbourne,Melbourne City Campus
24,Building 24 (Foresters Hall),124 La Trobe Street Melbourne,Melbourne City Campus
28,Building 28,124 La Trobe Street Melbourne,Melbourne City Campus
37,Building 37,411 Swanston Street Melbourne,Melbourne City Campus
38,Building 38,330-344 Swanston Street Melbourne,Melbourne City Campus
39,Building 39 (Gateway House),459-469 Swanston Street Melbourne,Melbourne City Campus
42,Building 42,36-40 Cardigan Street Carlton,Melbourne City Campus
43,Building 43 (Mary's Terrace),54 Cardigan Street Carlton,Melbourne City Campus
44,Building 44,15 Lygon Street Carlton,Melbourne City Campus
45,Building 45,33 Lygon Street Carlton,Melbourne City Campus
46,Building 46,11 Lygon Street Carlton,Melbourne City Campus
47,Building 47,8 Orr Street Carlton,Melbourne City Campus
49,Building 49,67 Franklin Street Melbourne,Melbourne City Campus
